rank,mode_idx,E,E_pct,freq_Hz,sigma
1,1,88.7072314536464,97.43164118288,0,-0.00132970125049822
2,4,0.429065743262867,0.471264617961819,0,-0.837080548703943
3,10,0.239731885215413,0.263309660753067,0.155715515494929,-1.70109258070496
4,9,0.239731885215411,0.263309660753065,0.155715515494929,-1.70109258070496
5,2,0.236443091413975,0.259697412097178,0,0.0297441872308959
6,3,0.193734180827759,0.21278805438915,0,-0.203467410805059
7,6,0.171169937511477,0.188004604130035,0,-1.44293218807164
8,11,0.135194018458639,0.148490431734608,0.341448599037696,-1.86409392536107
9,12,0.135194018458637,0.148490431734606,0.341448599037696,-1.86409392536107
10,14,0.125788637918676,0.138160026344412,0.45825436005999,-2.2389430255872
11,13,0.125788637918675,0.138160026344411,0.45825436005999,-2.2389430255872
12,7,0.0724086228005664,0.0795300545360587,0.0544434786845899,-1.65024405365659
13,8,0.0724086228005661,0.0795300545360584,0.0544434786845899,-1.65024405365659
14,16,0.0586033123347129,0.0643669834573479,0.304482866385782,-2.27679236828276
15,15,0.0586033123347119,0.0643669834573468,0.304482866385782,-2.27679236828276
16,18,0.0157319205129015,0.0172791643861815,0.144752650850671,-2.42418477755995
17,17,0.0157319205129015,0.0172791643861815,0.144752650850671,-2.42418477755995
18,20,0.00446236879479961,0.00490124545784958,0.238369954485297,-2.65515696305086
19,19,0.00446236879479959,0.00490124545784956,0.238369954485297,-2.65515696305086
20,5,0.00412345128163844,0.00452899520280507,0.5,-1.50333028627157
